sounds,instrument,technique
n_BKL_stac_mf1_C5.wav,bass_clarinet,staccato
n_Vc-pont-C5-mf-1c.wav,cello,sul_ponticello
n_Tbn-pedal_tone-C1-p.wav,trombone,pedal_tone
n_Acc-ord-C3-ff.wav,accordion,ordinario
n_BTb-ord-C3-mf.wav,bass_tuba,ordinario
n_Tbn-ord-C5-pp.wav,trombone,ordinario
n_Cb-pont-C4-mf-1c.wav,doublebass,sul_ponticello
n_Bn-ord-C4-ff.wav,bassoon,ordinario
n_Fl-aeolian+ord-C6-pp.wav,flute,semi_eolian
n_ClBb-ord-C6-mf.wav,clarinet,ordinario
n_Va-harm_artificial-C6-mf.wav,alto,artificial_harmonic
n_Va-nonvib-C6-pp.wav,alto,non_vibrato
n_Va-ord-C6-pp.wav,alto,ordinario
n_BTb-play+sing_5th-C4-mf.wav,bass_tuba,sing_play
n_Tbn-ord-C4-ff.wav,trombone,ordinario
n_Acc-ord-C3-pp.wav,accordion,ordinario
n_Gsp_HH_p_C6.wav,glokenspiel,soft_stick
n_Vn-ord-C5-ff.wav,violin,ordinario
n_Vc-nonvib-C5-pp.wav,cello,non_vibrato
n_Gsp_HH_f_C6.wav,glokenspiel,soft_stick
n_Gsp_ME_p_C7.wav,glokenspiel,hard_stick
n_BKL-L_pA_sus_f_C4.wav,bass_clarinet,ordinario
n_Tbn-ord-C5-mf.wav,trombone,ordinario
n_Cb-pizz_bartok-C3-ff.wav,doublebass,pizzicato_bartok
n_Tbn+C-ord-C3-mf.wav,trombone,ordinario
n_Vc-pizz_lv-C5-ff.wav,cello,pizzicato
n_Fl-ord-C7-pp.wav,flute,ordinario
n_AFL-L_oV_pA_sus_f_C5.wav,alto_flute,ordinario
n_BTb-ord-C1-ff.wav,bass_tuba,ordinario
n_Vn-nonvib-C5-ff.wav,violin,non_vibrato
n_Gsp_ME_p_C6.wav,glokenspiel,hard_stick
n_Vc-pizz_lv-C2-mf.wav,cello,pizzicato
n_Fl-ord-C5-mf.wav,flute,ordinario
n_Va-ord-C4-ff.wav,alto,ordinario
n_EH-L_pA_sus_pp_C4.wav,english_horn,ordinario
n_Gsp_ME_p_C8.wav,glokenspiel,hard_stick
n_Bn-mul-A3_G#2_B2+_D4-mf.wav,bassoon,multiphonic
n_Cb-pizz_lv-C4-mf.wav,doublebass,pizzicato
n_Va-pont-C3-mf.wav,alto,sul_ponticello
n_Va-pizz_lv-C3-ff.wav,alto,pizzicato
n_Vib_bow_sp-0_kurz_C4.wav,vibraphone,vib_arco
n_AFL-L_oV_pA_sus_mf_C5.wav,alto_flute,ordinario
n_Hn-ord-C5-ff.wav,french_horn,ordinario
n_TpC+C-ord-C5-mf.wav,trumpet,ordinario
n_Vib_ES_So_sp-0_f1_C4.wav,vibraphone,soft_stick
n_Hp-ord-C3-pp.wav,harpa,ordinario
n_Vn-nonvib-C4-pp.wav,violin,non_vibrato
n_ASax-mul-E4+_C#5_A5+-mf.wav,alto_saxophone,multiphonic
n_Vn-nonvib-C5-pp.wav,violin,non_vibrato
